date,holiday
2019-12-24,1
2019-12-25,1
2019-12-26,1
2019-12-27,1
2020-01-01,1
2020-03-08,1
2020-04-10,1
2020-04-12,1
2020-05-01,1
2020-05-21,1
2020-05-22,1
2020-05-08,1
2020-06-01,1
2020-06-11,1
2020-06-12,1
2020-10-03,1
2020-11-01,1
2020-12-24,1
2020-12-25,1
2020-12-26,1
2020-12-31,1
2021-01-01,1
2021-03-08,1
2021-04-02,1
2021-04-05,1
2021-05-01,1
2021-05-13,1
2021-05-14,1
2021-05-24,1
2021-06-03,1
2021-06-04,1
2021-11-01,1
2021-12-24,1
2021-12-25,1
2021-12-26,1
2021-12-31,1
2022-01-01,1
2022-03-07,1
2022-03-08,1
2022-04-15,1
2022-04-18,1
2022-05-01,1
2022-05-26,1
2022-05-27,1
2022-06-06,1
2022-06-16,1
2022-06-17,1
2022-10-03,1
2022-10-31,1
2022-11-01,1
2022-12-24,1
2022-12-25,1
2022-12-26,1
2022-12-31,1
